cod_ibge,code_muni,name,crs,crs2,cod_crs,macro,pop_15,pop_16,pop_17,pop_18,pop_19,pop_20,pop_21,pop_22,pop_23,code_state,abbrev_state,name_state
430003,4300034,Aceguá,07Âª CRS,07ª CRS,7,Sul,4.611,4.595,4412,4487,4516,4540,4505,4505,4505,43,RS,Rio Grande do Sul
430005,4300059,Água Santa,06Âª CRS,06ª CRS,6,Norte,3.859,3.939,4013,4057,4107,4093,4256,4256,4256,43,RS,Rio Grande do Sul
430010,4300109,Agudo,04Âª CRS,"04ª CRS",4,Centro-Oeste,17.014,16.730,16475,16537,16556,16760,16612,16612,16612,43,RS,Rio Grande do Sul
430020,4300208,Ajuricaba,17Âª CRS,17ª CRS,17,Missioneira,7.307,7.461,7325,7546,7485,7584,7447,7447,7447,43,RS,Rio Grande do Sul
430030,4300307,Alecrim,14Âª CRS,14ª CRS,14,Missioneira,6.593,6.610,6569,6513,6435,6301,6403,6403,6403,43,RS,Rio Grande do Sul
430040,4300406,Alegrete,10Âª CRS,10ª CRS,10,Centro-Oeste,77.212,76.860,72524,72516,72376,72072,72085,72085,72085,43,RS,Rio Grande do Sul
430045,4300455,Alegria,14Âª CRS,14ª CRS,14,Missioneira,4.039,4.116,4137,4231,4227,4247,4219,4219,4219,43,RS,Rio Grande do Sul
430047,4300471,Almirante Tamandaré do Sul,06Âª CRS,06ª CRS,6,Norte,2.048,2.083,2085,2083,2072,2052,2074,2074,2074,43,RS,Rio Grande do Sul
430050,4300505,Alpestre,02Âª CRS,02ª CRS,2,Norte,7.456,7.515,7362,7406,7311,7318,7216,7216,7216,43,RS,Rio Grande do Sul
430055,4300554,Alto Alegre,06Âª CRS,06ª CRS,6,Norte,1.793,1.809,1866,1869,1856,1899,1914,1914,1914,43,RS,Rio Grande do Sul
430057,4300570,Alto Feliz,05Âª CRS,05ª CRS,5,Serra,2.998,3.078,3191,3245,3209,3263,3225,3225,3225,43,RS,Rio Grande do Sul
430060,4300604,Alvorada,01Âª CRS,01ª CRS,1,Metropolitana,210.661,211.082,213396,212901,211533,210275,209157,209157,209157,43,RS,Rio Grande do Sul
430063,4300638,Amaral Ferrador,03Âª CRS,03ª CRS,3,Sul,6.294,6.344,6300,6330,6364,6428,6439,6439,6439,43,RS,Rio Grande do Sul
430064,4300646,Ametista do Sul,02Âª CRS,02ª CRS,2,Norte,7.427,7.346,7476,7432,7526,7592,7670,7670,7670,43,RS,Rio Grande do Sul
430066,4300661,André da Rocha,06Âª CRS,06ª CRS,6,Norte,1.243,1.214,1211,1215,1220,1241,1244,1244,1244,43,RS,Rio Grande do Sul
430070,4300703,Anta Gorda,16Âª CRS,16ª CRS,16,Vales,6.430,6.548,6558,6614,6677,6787,6785,6785,6785,43,RS,Rio Grande do Sul
430080,4300802,Antônio Prado,05Âª CRS,05ª CRS,5,Serra,13.037,13.025,12969,12878,12873,13188,13462,13462,13462,43,RS,Rio Grande do Sul
430085,4300851,Arambaré,01Âª CRS,01ª CRS,1,Metropolitana,3.897,3.891,3905,3877,3880,3880,3920,3920,3920,43,RS,Rio Grande do Sul
430087,4300877,Araricá,01Âª CRS,01ª CRS,1,Metropolitana,5.703,5.770,5701,5811,5935,6039,6189,6189,6189,43,RS,Rio Grande do Sul
430090,4300901,Aratiba,11Âª CRS,11ª CRS,11,Norte,6.695,6.618,6526,6507,6677,6659,6764,6764,6764,43,RS,Rio Grande do Sul
430100,4301008,Arroio do Meio,16Âª CRS,16ª CRS,16,Vales,20.575,20.880,21012,21528,21927,22565,23133,23133,23133,43,RS,Rio Grande do Sul
430107,4301057,Arroio do Padre,03Âª CRS,03ª CRS,3,Metropolitana,2.724,2.674,2841,2784,2788,2843,2949,2949,2949,43,RS,Rio Grande do Sul
430105,4301073,Arroio do Sal,18Âª CRS,18ª CRS,18,Sul,9.224,9.479,9854,10093,10185,10416,10598,10598,10598,43,RS,Rio Grande do Sul
430120,4301107,Arroio do Tigre,08Âª CRS,08ª CRS,8,Metropolitana,12.699,12.843,13134,13068,12998,12744,12704,12704,12704,43,RS,Rio Grande do Sul
430110,4301206,Arroio dos Ratos,01Âª CRS,01ª CRS,1,Vales,14.190,14.198,14183,14201,14260,14489,14616,14616,14616,43,RS,Rio Grande do Sul
430130,4301305,Arroio Grande,03Âª CRS,03ª CRS,3,Sul,18.563,18.439,18132,18013,17798,17519,17369,17369,17369,43,RS,Rio Grande do Sul
430140,4301404,Arvorezinha,06Âª CRS,06ª CRS,6,Norte,10.167,10.231,10253,10317,10293,10409,10547,10547,10547,43,RS,Rio Grande do Sul
430150,4301503,Augusto Pestana,17Âª CRS,17ª CRS,17,Missioneira,7.305,7.351,7333,7462,7490,7507,7490,7490,7490,43,RS,Rio Grande do Sul
430155,4301552,Áurea,11Âª CRS,11ª CRS,11,Norte,3.712,3.629,3645,3676,3707,3730,3723,3723,3723,43,RS,Rio Grande do Sul
430160,4301602,Bagé,07Âª CRS,07ª CRS,7,Sul,122.356,122.695,119539,120104,121069,121233,121321,121321,121321,43,RS,Rio Grande do Sul
430163,4301636,Balneário Pinhal,18Âª CRS,18ª CRS,18,Metropolitana,12.201,12.405,12938,13216,13416,13674,13852,13852,13852,43,RS,Rio Grande do Sul
430165,4301651,Barão,01Âª CRS,01ª CRS,1,Metropolitana,6.294,6.395,6470,6591,6684,6662,6622,6622,6622,43,RS,Rio Grande do Sul
430170,4301701,Barão de Cotegipe,11Âª CRS,11ª CRS,11,Norte,6.769,6.955,6922,6916,6808,6773,6839,6839,6839,43,RS,Rio Grande do Sul
430175,4301750,Barão do Triunfo,01Âª CRS,01ª CRS,1,Metropolitana,6.724,6.713,7007,7019,6836,6647,6554,6554,6554,43,RS,Rio Grande do Sul
430185,4301875,Barra do Guarita,02Âª CRS,02ª CRS,2,Norte,3.160,3.237,3310,3327,3359,3399,3489,3489,3489,43,RS,Rio Grande do Sul
430187,4301909,Barra do Quaraí,10Âª CRS,10ª CRS,10,Centro-Oeste,3.669,3.808,4134,4273,4274,4217,4180,4180,4180,43,RS,Rio Grande do Sul
430190,4301925,Barra do Ribeiro,01Âª CRS,01ª CRS,1,Metropolitana,13.107,13.179,13456,13442,13435,13212,13260,13260,13260,43,RS,Rio Grande do Sul
430192,4301958,Barra do Rio Azul,11Âª CRS,11ª CRS,11,Norte,1.822,1.750,1830,1824,1844,1804,1778,1778,1778,43,RS,Rio Grande do Sul
430195,4301800,Barra Funda,15Âª CRS,15ª CRS,15,Norte,2.550,2.677,2571,2621,2634,2670,2704,2704,2704,43,RS,Rio Grande do Sul
430180,4301859,Barracão,06Âª CRS,06ª CRS,6,Norte,5.183,5.124,5092,5013,5121,5066,5089,5089,5089,43,RS,Rio Grande do Sul
430200,4302006,Barros Cassal,06Âª CRS,06ª CRS,6,Norte,10.866,10.681,10624,10542,10494,10512,10455,10455,10455,43,RS,Rio Grande do Sul
430205,4302055,Benjamin Constant do Sul,11Âª CRS,11ª CRS,11,Norte,2.373,2.359,2331,2271,2192,2182,2203,2203,2203,43,RS,Rio Grande do Sul
430210,4302105,Bento Gonçalves,05Âª CRS,05ª CRS,5,Serra,117.227,117.984,120961,121826,124516,126919,130149,130149,130149,43,RS,Rio Grande do Sul
430215,4302154,Boa Vista das Missões,15Âª CRS,15ª CRS,15,Norte,2.138,2.157,2100,2064,2077,2066,2089,2089,2089,43,RS,Rio Grande do Sul
430220,4302204,Boa Vista do Buricá,14Âª CRS,14ª CRS,14,Missioneira,6.687,6.850,6927,7118,7218,7304,7331,7331,7331,43,RS,Rio Grande do Sul
430222,4302220,Boa Vista do Cadeado,09Âª CRS,"09ª CRS",9,Missioneira,2.497,2.451,2459,2519,2497,2407,2337,2337,2337,43,RS,Rio Grande do Sul
430223,4302238,Boa Vista do Incra,09Âª CRS,"09ª CRS",9,Missioneira,2.411,2.317,2468,2494,2551,2505,2504,2504,2504,43,RS,Rio Grande do Sul
430225,4302253,Boa Vista do Sul,05Âª CRS,05ª CRS,5,Serra,3.012,3.045,2956,3014,3088,3139,3165,3165,3165,43,RS,Rio Grande do Sul
430230,4302303,Bom Jesus,05Âª CRS,05ª CRS,5,Serra,11.326,11.430,11371,11501,11525,11605,11695,11695,11695,43,RS,Rio Grande do Sul
430235,4302352,Bom Princípio,05Âª CRS,05ª CRS,5,Serra,13.022,13.268,14023,14145,14545,14430,14688,14688,14688,43,RS,Rio Grande do Sul
430237,4302378,Bom Progresso,02Âª CRS,02ª CRS,2,Norte,2.432,2.333,2304,2294,2343,2351,2396,2396,2396,43,RS,Rio Grande do Sul
430240,4302402,Bom Retiro do Sul,16Âª CRS,16ª CRS,16,Vales,12.502,12.548,12630,12739,12939,13171,13344,13344,13344,43,RS,Rio Grande do Sul
430245,4302451,Boqueirão do Leão,16Âª CRS,16ª CRS,16,Vales,7.575,7.443,7336,7268,7411,7459,7467,7467,7467,43,RS,Rio Grande do Sul
430250,4302501,Bossoroca,12Âª CRS,12ª CRS,12,Missioneira,6.282,6.333,6373,6375,6339,6315,6250,6250,6250,43,RS,Rio Grande do Sul
430258,4302584,Bozano,17Âª CRS,17ª CRS,17,Missioneira,2.213,2.241,2311,2341,2344,2331,2313,2313,2313,43,RS,Rio Grande do Sul
430260,4302600,Braga,15Âª CRS,15ª CRS,15,Norte,3.674,3.597,3723,3731,3758,3719,3725,3725,3725,43,RS,Rio Grande do Sul
430265,4302659,Brochier,01Âª CRS,01ª CRS,1,Metropolitana,4.824,4.915,4985,5087,5169,5130,5349,5349,5349,43,RS,Rio Grande do Sul
430270,4302709,Butiá,01Âª CRS,01ª CRS,1,Metropolitana,21.506,21.558,21172,21137,20960,20909,20842,20842,20842,43,RS,Rio Grande do Sul
430280,4302808,Caçapava do Sul,08Âª CRS,08ª CRS,8,Vales,35.075,34.810,33583,33812,33959,34270,34460,34460,34460,43,RS,Rio Grande do Sul
430290,4302907,Cacequi,04Âª CRS,"04ª CRS",4,Centro-Oeste,13.016,13.023,12756,12493,12433,12462,12694,12694,12694,43,RS,Rio Grande do Sul
430300,4303004,Cachoeira do Sul,08Âª CRS,08ª CRS,8,Vales,86.229,86.569,84009,83590,83695,84499,84861,84861,84861,43,RS,Rio Grande do Sul
430310,4303103,Cachoeirinha,01Âª CRS,01ª CRS,1,Metropolitana,129.568,130.255,133132,133657,133857,135503,136683,136683,136683,43,RS,Rio Grande do Sul
430320,4303202,Cacique Doble,06Âª CRS,06ª CRS,6,Norte,5.326,5.181,5154,5094,5113,5103,5087,5087,5087,43,RS,Rio Grande do Sul
430330,4303301,Caibaté,12Âª CRS,12ª CRS,12,Missioneira,5.209,5.002,5076,5081,5112,4986,5018,5018,5018,43,RS,Rio Grande do Sul
430340,4303400,Caiçara,02Âª CRS,02ª CRS,2,Norte,4.738,4.629,4855,4872,4959,4932,4886,4886,4886,43,RS,Rio Grande do Sul
430350,4303509,Camaquã,01Âª CRS,01ª CRS,1,Metropolitana,66.407,66.297,65293,65268,65826,66521,66321,66321,66321,43,RS,Rio Grande do Sul
430355,4303558,Camargo,06Âª CRS,06ª CRS,6,Norte,2.729,2.704,2836,2899,2978,2996,2989,2989,2989,43,RS,Rio Grande do Sul
430360,4303608,Cambará do Sul,01Âª CRS,01ª CRS,1,Metropolitana,6.583,6.595,6295,6292,6307,6423,6374,6374,6374,43,RS,Rio Grande do Sul
430367,4303673,Campestre da Serra,05Âª CRS,05ª CRS,5,Serra,3.360,3.307,3292,3310,3291,3267,3247,3247,3247,43,RS,Rio Grande do Sul
430370,4303707,Campina das Missões,14Âª CRS,14ª CRS,14,Missioneira,6.265,6.263,6169,6181,6110,6199,6207,6207,6207,43,RS,Rio Grande do Sul
430380,4303806,Campinas do Sul,11Âª CRS,11ª CRS,11,Norte,5.751,5.754,5818,5852,5908,5873,5855,5855,5855,43,RS,Rio Grande do Sul
430390,4303905,Campo Bom,01Âª CRS,01ª CRS,1,Metropolitana,64.392,64.320,64622,65218,65833,66459,66930,66930,66930,43,RS,Rio Grande do Sul
430400,4304002,Campo Novo,17Âª CRS,17ª CRS,17,Missioneira,5.294,5.278,5185,5207,5165,5110,5085,5085,5085,43,RS,Rio Grande do Sul
430410,4304101,Campos Borges,06Âª CRS,06ª CRS,6,Norte,3.693,3.800,3763,3774,3753,3689,3715,3715,3715,43,RS,Rio Grande do Sul
430420,4304200,Candelária,13Âª CRS,13ª CRS,13,Vales,31.083,31.135,30643,30649,30430,30397,30186,30186,30186,43,RS,Rio Grande do Sul
430430,4304309,Cândido Godói,14Âª CRS,14ª CRS,14,Missioneira,6.783,6.721,6655,6587,6728,6684,6725,6725,6725,43,RS,Rio Grande do Sul
430435,4304358,Candiota,07Âª CRS,07ª CRS,7,Sul,9.178,9.277,9290,9450,9440,9430,9435,9435,9435,43,RS,Rio Grande do Sul
430440,4304408,Canela,05Âª CRS,05ª CRS,5,Serra,43.665,43.803,44128,45054,46280,47453,47990,47990,47990,43,RS,Rio Grande do Sul
430450,4304507,Canguçu,03Âª CRS,03ª CRS,3,Sul,54.999,54.348,53161,53121,53164,53022,53161,53161,53161,43,RS,Rio Grande do Sul
430460,4304606,Canoas,01Âª CRS,01ª CRS,1,Metropolitana,350.824,352.097,355918,357168,359562,362337,365364,365364,365364,43,RS,Rio Grande do Sul
430461,4304614,Canudos do Vale,16Âª CRS,16ª CRS,16,Vales,1.786,1.658,1687,1705,1753,1751,1757,1757,1757,43,RS,Rio Grande do Sul
430462,4304622,Capão Bonito do Sul,06Âª CRS,06ª CRS,6,Norte,2.164,2.166,1989,2015,1982,1973,1952,1952,1952,43,RS,Rio Grande do Sul
430463,4304630,Capão da Canoa,18Âª CRS,18ª CRS,18,Metropolitana,48.700,49.848,51299,52685,53769,55102,56396,56396,56396,43,RS,Rio Grande do Sul
430465,4304655,Capão do Cipó,04Âª CRS,"04ª CRS",4,Centro-Oeste,3.087,3.188,3225,3233,3152,3191,3198,3198,3198,43,RS,Rio Grande do Sul
430466,4304663,Capão do Leão,03Âª CRS,03ª CRS,3,Sul,25.462,25.501,26189,26524,27002,27170,27105,27105,27105,43,RS,Rio Grande do Sul
430468,4304697,Capela de Santana,01Âª CRS,01ª CRS,1,Metropolitana,12.050,11.918,12534,12559,12716,12944,13084,13084,13084,43,RS,Rio Grande do Sul
430469,4304671,Capitão,16Âª CRS,16ª CRS,16,Vales,3.031,3.183,3048,3090,3045,3119,3185,3185,3185,43,RS,Rio Grande do Sul
430467,4304689,Capivari do Sul,18Âª CRS,18ª CRS,18,Metropolitana,4.235,4.214,4421,4463,4545,4567,4620,4620,4620,43,RS,Rio Grande do Sul
430471,4304705,Caraá,18Âª CRS,18ª CRS,18,Metropolitana,7.768,7.591,7826,7921,8095,8087,8175,8175,8175,43,RS,Rio Grande do Sul
430470,4304713,Carazinho,06Âª CRS,06ª CRS,6,Norte,63.114,63.009,62860,62704,63291,63843,64757,64757,64757,43,RS,Rio Grande do Sul
430480,4304804,Carlos Barbosa,05Âª CRS,05ª CRS,5,Serra,27.926,28.744,29182,29886,30563,31285,31709,31709,31709,43,RS,Rio Grande do Sul
430485,4304853,Carlos Gomes,11Âª CRS,11ª CRS,11,Norte,1.494,1.488,1534,1522,1524,1489,1482,1482,1482,43,RS,Rio Grande do Sul
430490,4304903,Casca,06Âª CRS,06ª CRS,6,Norte,8.660,8.896,9049,9225,9298,9222,9366,9366,9366,43,RS,Rio Grande do Sul
430495,4304952,Caseiros,06Âª CRS,06ª CRS,6,Norte,3.250,3.154,3250,3368,3404,3328,3235,3235,3235,43,RS,Rio Grande do Sul
430500,4305009,Catuípe,17Âª CRS,17ª CRS,17,Missioneira,9.373,9.193,9207,9324,9360,9447,9483,9483,9483,43,RS,Rio Grande do Sul
430510,4305108,Caxias do Sul,05Âª CRS,05ª CRS,5,Serra,475.906,475.992,468518,468919,472037,477142,479884,479884,479884,43,RS,Rio Grande do Sul
430511,4305116,Centenário,11Âª CRS,11ª CRS,11,Norte,3.128,3.020,3002,3033,3089,3123,3148,3148,3148,43,RS,Rio Grande do Sul
430512,4305124,Cerrito,03Âª CRS,03ª CRS,3,Sul,6.125,6.124,6092,6043,6062,6007,6133,6133,6133,43,RS,Rio Grande do Sul
430513,4305132,Cerro Branco,08Âª CRS,08ª CRS,8,Vales,4.338,4.283,4469,4318,4283,4102,4128,4128,4128,43,RS,Rio Grande do Sul
430515,4305157,Cerro Grande,15Âª CRS,15ª CRS,15,Norte,2.585,2.558,2508,2533,2561,2598,2670,2670,2670,43,RS,Rio Grande do Sul
430517,4305173,Cerro Grande do Sul,01Âª CRS,01ª CRS,1,Metropolitana,10.404,10.471,10661,10968,11018,10914,10675,10675,10675,43,RS,Rio Grande do Sul
430520,4305207,Cerro Largo,12Âª CRS,12ª CRS,12,Missioneira,14.080,14.201,14287,14590,14608,14746,14814,14814,14814,43,RS,Rio Grande do Sul
430530,4305306,Chapada,15Âª CRS,15ª CRS,15,Norte,9.377,9.539,9578,9882,10096,10330,10299,10299,10299,43,RS,Rio Grande do Sul
430535,4305355,Charqueadas,01Âª CRS,01ª CRS,1,Metropolitana,37.135,36.958,37559,37595,37641,37571,38054,38054,38054,43,RS,Rio Grande do Sul
430537,4305371,Charrua,11Âª CRS,11ª CRS,11,Norte,3.238,3.096,3192,3189,3237,3214,3211,3211,3211,43,RS,Rio Grande do Sul
430540,4305405,Chiapeta,17Âª CRS,17ª CRS,17,Missioneira,4.212,4.152,4176,4178,4171,4088,4047,4047,4047,43,RS,Rio Grande do Sul
430543,4305439,Chuí,03Âª CRS,03ª CRS,3,Sul,5.797,5.567,5919,5930,6008,6003,5869,5869,5869,43,RS,Rio Grande do Sul
430544,4305447,Chuvisca,01Âª CRS,01ª CRS,1,Metropolitana,5.157,5.084,5136,5141,5197,5203,5242,5242,5242,43,RS,Rio Grande do Sul
430545,4305454,Cidreira,18Âª CRS,18ª CRS,18,Metropolitana,14.311,14.465,14943,15273,15730,16117,16515,16515,16515,43,RS,Rio Grande do Sul
430550,4305504,Ciríaco,06Âª CRS,06ª CRS,6,Norte,4.656,4.688,4676,4674,4657,4602,4670,4670,4670,43,RS,Rio Grande do Sul
430558,4305587,Colinas,16Âª CRS,16ª CRS,16,Vales,2.806,2.884,2904,2938,2954,2964,2971,2971,2971,43,RS,Rio Grande do Sul
430560,4305603,Colorado,09Âª CRS,"09ª CRS",9,Missioneira,3.335,3.289,3438,3478,3537,3473,3482,3482,3482,43,RS,Rio Grande do Sul
430570,4305702,Condor,17Âª CRS,17ª CRS,17,Missioneira,6.012,6.458,6832,7157,7206,7271,7277,7277,7277,43,RS,Rio Grande do Sul
430580,4305801,Constantina,15Âª CRS,15ª CRS,15,Norte,10.216,10.120,10298,10451,10745,10780,10805,10805,10805,43,RS,Rio Grande do Sul
430583,4305835,Coqueiro Baixo,16Âª CRS,16ª CRS,16,Vales,1.421,1.410,1425,1485,1492,1518,1500,1500,1500,43,RS,Rio Grande do Sul
430585,4305850,Coqueiros do Sul,06Âª CRS,06ª CRS,6,Norte,2.352,2.351,2383,2369,2355,2332,2392,2392,2392,43,RS,Rio Grande do Sul
430587,4305871,Coronel Barros,17Âª CRS,17ª CRS,17,Missioneira,2.820,2.782,2813,2837,2880,2886,2908,2908,2908,43,RS,Rio Grande do Sul
430590,4305900,Coronel Bicaco,15Âª CRS,15ª CRS,15,Norte,7.457,7.374,7278,7404,7398,7488,7477,7477,7477,43,RS,Rio Grande do Sul
430593,4305934,Coronel Pilar,05Âª CRS,05ª CRS,5,Serra,1.543,1.560,1712,1739,1774,1761,1743,1743,1743,43,RS,Rio Grande do Sul
430595,4305959,Cotiporã,05Âª CRS,05ª CRS,5,Serra,3.961,3.976,3906,3903,3960,3959,3967,3967,3967,43,RS,Rio Grande do Sul
430597,4305975,Coxilha,06Âª CRS,06ª CRS,6,Norte,2.941,2.959,2959,2923,2938,2899,2912,2912,2912,43,RS,Rio Grande do Sul
430600,4306007,Crissiumal,17Âª CRS,17ª CRS,17,Missioneira,14.095,14.148,13885,13960,13894,13912,13901,13901,13901,43,RS,Rio Grande do Sul
