cod_ibge,name,cod_crs,macro
430003,Aceguá,7,Sul
430005,Água Santa,6,Norte
430010,Agudo,4,Centro-Oeste
430020,Ajuricaba,17,Missioneira
430030,Alecrim,14,Missioneira
430040,Alegrete,10,Centro-Oeste
430045,Alegria,14,Missioneira
430047,Almirante Tamandaré do Sul,6,Norte
430050,Alpestre,2,Norte
430055,Alto Alegre,6,Norte
430057,Alto Feliz,5,Serra
430060,Alvorada,1,Metropolitana
430063,Amaral Ferrador,3,Sul
430064,Ametista do Sul,2,Norte
430066,André da Rocha,6,Norte
430070,Anta Gorda,16,Vales
430080,Antônio Prado,5,Serra
430085,Arambaré,1,Metropolitana
430087,Araricá,1,Metropolitana
430090,Aratiba,11,Norte
430100,Arroio do Meio,16,Vales
430105,Arroio do Sal,18,Sul
430107,Arroio do Padre,3,Metropolitana
430110,Arroio dos Ratos,1,Vales
430120,Arroio do Tigre,8,Metropolitana
430130,Arroio Grande,3,Sul
430140,Arvorezinha,6,Norte
430150,Augusto Pestana,17,Missioneira
430155,Áurea,11,Norte
430160,Bagé,7,Sul
430163,Balneário Pinhal,18,Metropolitana
430165,Barão,1,Metropolitana
430170,Barão de Cotegipe,11,Norte
430175,Barão do Triunfo,1,Metropolitana
430180,Barracão,6,Norte
430185,Barra do Guarita,2,Norte
430187,Barra do Quaraí,10,Centro-Oeste
430190,Barra do Ribeiro,1,Metropolitana
430192,Barra do Rio Azul,11,Norte
430195,Barra Funda,15,Norte
430200,Barros Cassal,6,Norte
430205,Benjamin Constant do Sul,11,Norte
430210,Bento Gonçalves,5,Serra
430215,Boa Vista das Missões,15,Norte
430220,Boa Vista do Buricá,14,Missioneira
430222,Boa Vista do Cadeado,9,Missioneira
430223,Boa Vista do Incra,9,Missioneira
430225,Boa Vista do Sul,5,Serra
430230,Bom Jesus,5,Serra
430235,Bom Princípio,5,Serra
430237,Bom Progresso,2,Norte
430240,Bom Retiro do Sul,16,Vales
430245,Boqueirão do Leão,16,Vales
430250,Bossoroca,12,Missioneira
430258,Bozano,17,Missioneira
430260,Braga,15,Norte
430265,Brochier,1,Metropolitana
430270,Butiá,1,Metropolitana
430280,Caçapava do Sul,8,Vales
430290,Cacequi,4,Centro-Oeste
430300,Cachoeira do Sul,8,Vales
430310,Cachoeirinha,1,Metropolitana
430320,Cacique Doble,6,Norte
430330,Caibaté,12,Missioneira
430340,Caiçara,2,Norte
430350,Camaquã,1,Metropolitana
430355,Camargo,6,Norte
430360,Cambará do Sul,1,Metropolitana
